id,condominio,anunciante,num_suites,num_vagas,num_quartos,area,rua,regiao,descricao,tipo_imovel,localidade,bairro,preco
2066,0.0,SUCASA,0.0,1.0,2.0,100.0,Endereço Não Informado,RS,Venha morar em local privilegiado com mais qualidade de vida! - 02/11/2017,Casa de Condomínio,Pelotas,Laranjal,270300
2067,620.0,Moyses Imóveis,1.0,1.0,3.0,157.0,Próximo Escola Adventista,RS,"Apartamento próximo à Escola Adventista, ótima posição solar, 1 lance de escadas, 2º piso, reformado (Louças, banheiro, rodapés, rodaforro e...",Apartamento,Pelotas,Centro,580000
2068,0.0,SUCASA,0.0,1.0,2.0,96.0,Endereço Não Informado,RS,"Casa nova no Bairro Liberdade, 2 dormitórios com pátio e garagem. - 02/11/2017",Casa,Pelotas,Três Vendas,276000
2069,200.0,MARQUES IMÓVEIS,1.0,1.0,3.0,124.0,,RS,"0163 - Apto, bairro CENTRO, 03 dormitórios, 01 suíte, estar social, jantar, cozinha, dep.empregada, banheiro social, área serviço, ar condic...",Apartamento,Pelotas,Centro,330000
2070,790.0,MARQUES IMÓVEIS,1.0,1.0,3.0,128.0,,RS,"Apto ANCHIETA, Bairro CENTRO, 3 Dormitórios, 1 C/ Suíte, Estar social e Jantar, Cozinha, Despensa, Área Serviço, Dependência Empregada, Saca...",Apartamento,Pelotas,Centro,310000
2071,0.0,FUHRO SOUTO IMOBILIARIA,0.0,2.0,3.0,232.0,Rua Otacílio Câmara,RS,"AREAL PRÓX DOMINGOS DE ALMEIDA: Frente norte, 3dorms, sala, lareira, cozinha, wc social e aux, garagem, pátio, churrasqueira. R$398.000",Casa,Pelotas,Areal,398000
2072,0.0,SUCASA,0.0,1.0,3.0,119.0,Endereço Não Informado,RS,,Apartamento,Pelotas,Centro,330000
2073,300.0,FUHRO SOUTO IMOBILIARIA,0.0,1.0,3.0,74.0,Rua Professor Doutor Araújo,RS,"LARGO VERNETTI DE FRENTE: c/ sacada, ensolarado, 3 dorms., piso flutuante, sala, copa, cozinha, garagem fechada, portaria 24 hrs, ampla nego...",Apartamento,Pelotas,Centro,280000
2074,0.0,FUHRO SOUTO IMOBILIARIA,0.0,1.0,2.0,63.0,Rua Almirante Barroso,RS,"BARROSO NUNCA HABITADO: andar alto, 2dorms. cozinha americana, sala, wc, garagem, elevador. Estuda propostas. R$320.000,00.",Apartamento,Pelotas,Centro,320000
2075,0.0,KROLOW NEGÓCIOS IMOBILIÁRIOS,0.0,0.0,0.0,175.0,Rua Carlos Gomes,RS,Terreno na Três Vendas a 3 quadras da Dom Joaquim. Código: T161,Terreno Padrão,Pelotas,Três Vendas,170000
2076,0.0,FUHRO SOUTO IMOBILIARIA,1.0,2.0,3.0,379.0,Rua Quinze de Novembro,RS,"ALTO PADRÃO PROX AO BRILHANTE: Amplo, de frente, 4 dorms, sendo 1 suíte, closet, sala 3 ambientes,  terraço, área de serviço, elevador, chur...",Apartamento,Pelotas,Centro,1600000
2077,0.0,HELDER LOPES IMOVEIS,1.0,1.0,2.0,65.0,Av. J.K de Oliveira,RS,"VILLAGE CENTER I APARTAMENTO UNIFICADO (COM SUÍTE) 

Ponta  de  Bloco – 2º Piso – Gradeado  – Ótima Posição Solar
2 dormitórios (1 suíte)...",Apartamento,Pelotas,Centro,202000
2078,0.0,MAP Corretores de Imóveis,0.0,1.0,1.0,50.0,,RS,"Casa no Laranjal, localizada no Colina Verde. Região alta. Aceita carro.",Casa,Pelotas,Colina Verde,360000
2079,0.0,HELDER LOPES IMOVEIS,2.0,2.0,3.0,150.0,Rua Tomaz Soares Vieira,RS,"Sobrado Moderno Bougainville

Ótima oportunidade sobrado c/ dormitórios, cortinas automatizadas, closet, suíte c móveis planejados e hidro...",Casa,Pelotas,Laranjal,570000
2080,0.0,HELDER LOPES IMOVEIS,0.0,0.0,0.0,360.0,Rua Professora Vanda da Silva Chagas,RS,"Terreno Colina do Sol 

ÁREA TOTAL –  360m²

10m de frente x 36m de fundo",Casa,Pelotas,Colina da Sol,200000
2081,18.0,Fernanda,0.0,1.0,2.0,45.0,Rua Maestro Mendanha,RS,"Apartamento central, condomínio Reservas D´ouro, localização e posição privilegiadas, sacada com churrasqueira, 2 dormitórios, sala e cozinh...",Casa,Pelotas,Centro,170000
2082,230.0,Alex Lara,0.0,1.0,2.0,55.0,Avenida Presidente Juscelino Kubitschek de Oliveira,RS,"Apartamento em condomínio fechado
2 dormitórios, estar/jantar, cozinha, área de serviço, banheiro auxiliar, vaga de garagem coberta e com a...",Casa,Pelotas,Centro,250000
2083,680.0,Maria,1.0,1.0,3.0,147.0,Rua Almirante Barroso,RS,"Excelente apartamento com 3 dormitórios sendo 1 suíte, todo reformado, ensolarado, com 4 splits, aquecimento a gás na cozinha e suíte. Banhe...",Casa,Pelotas,Centro,600000
2084,255.0,JWS - IMÓVEIS,0.0,1.0,3.0,92.0,,RS,"Apartamento andar baixo, dependências amplas, área de serviço fechada, próximo ao Paraíso Supermercado",Casa,Pelotas,Porto,275000
2085,175.0,ROSANA,0.0,1.0,2.0,4696.0,Rua Maestro Mendanha,RS,"Vende-se apartamento no centro de Pelotas, no Condomínio Residencial Reserva d'Ouro. Condomínio com ótima estrutura de lazer e portaria 24 h...",Casa,Pelotas,Centro,210000
2086,300.0,Marcelo Karam Nogueira,1.0,1.0,3.0,66.0,Av. Presidente Juscelino K. de Oliveira,RS,"Apartamento novo, moderno, pronto para morar. 15º andar, semimobiliado, ótima orientação solar, bela vista.

Fantástica área de lazer do c...",Casa,Pelotas,Centro,380000
2087,0.0,Gladis Lopes-Corretora de Imoveis,2.0,1.0,3.0,180.0,Rua Padre Anchieta,RS,"Sobrado moderno e espaçoso, recém reformado, localizado próximo à Avenida Bento Gonçalves, com 3 dormitórios, sendo 2 suítes, closed com arm...",Casa,Pelotas,Centro,449000
2088,640.0,JWS - IMÓVEIS,1.0,1.0,3.0,147.0,,RS,"Apartamento reformado e decorado, impecável. Ótima Localização, andar baixo. Apartamento belíssimo, amplo, corredor de entrada com persianas...",Casa,Pelotas,Centro,630000
2089,200.0,JWS - IMÓVEIS,1.0,2.0,3.0,110.0,Jk de Oliveira,RS,"42 apartamentos, 31 opções de plantas exclusivas.Hall amplo com obras de arte, espaço gourmet, espaço fitness e espaço kids interligados, te...",Casa,Pelotas,Zona Norte,549000
2090,0.0,REQUINTE IMÓVEIS,0.0,2.0,2.0,47.0,Rua Três de Maio,RS,"8333 - Requinte oferece: casa no porto, em ótimo estado, com 2 dormitórios, sala de estar, cozinha, área de serviço, banheiro social, garage...",Casa,Pelotas,Centro,180000
2091,26.0,REQUINTE IMÓVEIS,0.0,0.0,2.0,76.0,Rua Bento Martins,RS,9757 - Bento Martins - Centro,Casa,Pelotas,Centro,200000
2092,198.0,REQUINTE IMÓVEIS,0.0,0.0,2.0,50.0,Rua Padre Anchieta,RS,"2330 - ÓTIMO INVESTIMENTO APTO CENTRO - 2 dorm, próximo das universidades, ótimo estado de conservação, área de serviço, banheiro, cozinha, ...",Casa,Pelotas,Centro,170000
2093,170.0,REQUINTE IMÓVEIS,1.0,1.0,3.0,147.0,Rua Vítor Valpírio,RS,"1683 - Requinte oferece: Excelente Apartamento, área nobre, com 3 dormitórios, sendo 1 suíte, sala de estar,sacada,  cozinha, dispensa, depe...",Casa,Pelotas,Três Vendas,403000
2094,0.0,REQUINTE IMÓVEIS,0.0,3.0,2.0,75.0,Rua Guararapes,RS,"1891 - Requinte oferece: Casa  central, Com opção para comércio na garagem ampla (vaga 3 carros), 2 dormitórios, cozinha, 2 banheiros, pátio...",Casa,Pelotas,Centro,330000
2095,80.0,Gladis Lopes-Corretora de Imoveis,2.0,2.0,3.0,194.0,Anchieta,RS,"Cobertura duplex, no centro, próxima de tudo, com 3 dormitórios, sendo 2 suítes, escritório (opção para mais um dormitório) ampla sala dois ...",Casa,Pelotas,Centro,980000
2096,0.0,REQUINTE IMÓVEIS,0.0,0.0,0.0,420.0,Rua Cândido Portinari,RS,"2433 - TERRENO CENTRAL, PRÓXIMO AO FÓRUM, 300 m2 com piscina no fundo e benfeitorias.",Casa,Pelotas,Areal,400000
2097,342.0,REQUINTE IMÓVEIS,0.0,1.0,2.0,87.0,Rua Marechal Deodoro,RS,"97470 - Requinte oferece: Apartamento central com 87m², 2 dorm, sala estar/social, banheiro, cozinha e vaga de garagem independente. Próximo...",Casa,Pelotas,Centro,260000
